,word,word_count,doc_count,doc_len
2069,কেইখনো,1,1,9
2070,কেইজন,3,3,34
2071,কেইজনক,1,1,13
2072,কেইজনি,1,1,39
2073,কেইজনী,1,1,16
2074,কেইজনীক,1,1,6
2075,কেইজনীয়ে,1,1,11
2076,কেইজনে,1,1,14
2077,কেইজনৰ,1,1,10
2078,কেইজিনিক,1,1,39
2079,কেইটা,9,9,113
2080,কেইটাই,7,7,75
2081,কেইটাক,6,6,68
2082,কেইটাকে,1,1,26
2083,কেইটামান,6,6,88
2084,কেইটামান।,1,1,10
2085,কেইটামানে,1,1,8
2086,কেইটাৰ,7,7,89
2087,কেইতা,1,1,21
2088,কেইদিনমান,2,2,16
2089,কেইদিনমানৰ,1,1,7
2090,কেইবাটাও,1,1,14
2091,কেইবাবছৰৰ,1,1,22
2092,কেইবাবাৰো,1,1,31
2093,কেইবাৰ,1,1,6
2094,কেকোৱাৰ,1,1,13
2095,কেচ,2,2,9
2096,কেছাদাচ,1,1,9
2097,কেছুৱাই,1,1,12
2098,কেজ,1,1,12
2099,কেজৰিবাল,1,1,13
2100,কেজৰিয়াল,1,1,11
2101,কেজৰিয়ালক,1,1,8
2102,কেজৰিৱাল,6,6,53
2103,কেজৰিৱালদেৱ,1,1,3
2104,কেজৰিৱালে,1,1,14
2105,কেজৰিৱালৰ,1,1,6
2106,কেজৰীআলক,1,1,20
2107,কেজৰীয়াল,1,1,8
2108,কেজৰীয়ালৰ,1,1,9
2109,কেজৰীৱাল,2,2,19
2110,কেজৰীৱালৰ,2,2,33
2111,কেটেঙী,1,1,12
2112,কেতিয়া,10,10,114
2113,কেতিয়াও,5,5,70
2114,কেতিয়াও।,1,1,17
2115,কেতিয়াবা,5,4,59
2116,কেতিয়াল,1,1,5
2117,কেতিয়া,1,1,4
2118,কেতিয়াও,9,9,113
2119,কেতিয়াওঁ,2,2,26
2120,কেতিয়াবা,3,3,40
2121,কেতিয়াবাই,2,2,21
2122,কেথা,1,1,39
2123,কেদাৰে,1,1,18
2124,কেদাৰৰ,1,1,15
2125,কেনে,6,6,72
2126,কেনেকুৱা,4,4,47
2127,কেনেকে,3,3,32
2128,কেনেকৈ,16,15,194
2129,কেনেকোই,1,1,10
2130,কেনেবাকৈ,1,1,17
2131,কেন্দ্রীয়,1,1,14
2132,কেন্দ্ৰ,1,1,18
2133,কেন্দ্ৰীয়,1,1,10
2134,কেবল,2,2,18
2135,কেবলমাত্ৰ,1,1,14
2136,কেব়ল,1,1,20
2137,কেবাৰে,1,1,5
2138,কেবিনেট,1,1,22
2139,কেমন,1,1,10
2140,কেমেৰা,10,10,134
2141,কেমেৰাতো,1,1,6
2142,কেমেৰামেন,1,1,6
2143,কেমেৰাৰ,1,1,8
2144,কেলা,49,46,405
2145,কেলা...,1,1,11
2146,কেলা।,1,1,9
2147,কেলা।জয়,1,1,9
2148,কেলি,1,1,16
2149,কেলেংকাৰি,1,1,52
2150,কেলেংকাৰী,2,2,52
2151,কেলেই,2,2,11
2152,"কেলেই,বৰ্তমান",1,1,24
2153,কেল্লা,1,1,10
2154,কোনোবা,1,1,14
2155,কোনোৱাই,1,1,16
2156,কেয়াৰ,1,1,31
2157,কেৰেপ,1,1,8
2158,কেৱল,15,15,216
2159,কৈ,32,31,400
2160,কৈছা,1,1,5
2161,"কৈছা,",1,1,8
2162,কৈছা...পিছে,1,1,18
2163,কৈছা..কিন্তু,1,1,17
2164,কৈছিল,6,6,107
2165,কৈছিলো,2,2,30
2166,কৈছে,6,6,69
2167,"কৈছে,",2,2,19
2168,কৈছে......,1,1,16
2169,কৈছে।,1,1,13
2170,কৈছে।কিন্তু,1,1,11
2171,কৈছো,3,3,58
2172,কৈছো।,1,1,13
2173,কৈছোঁ,2,2,33
2174,কৈছোঁ।,1,1,17
2175,কৈছোঁ‌,1,1,16
2176,কো,3,3,45
2177,কোই,2,2,16
2178,কোইচা,1,1,10
2179,কোইচিল,1,1,45
2180,কোইচে,1,1,20
2181,কোইচো,1,1,45
2182,কোচ,1,1,13
2183,"কোচ-ৰাজবংশী,",1,1,19
2184,কোচবিহাৰো,1,1,7
2185,কোট?,1,1,4
2186,কোটি,1,1,21
2187,কোঠা,3,3,61
2188,কোঠাৰ,1,1,9
2189,কোথা,1,1,20
2190,কোথাই,1,1,4
2191,কোন,22,21,226
2192,কোনখন,2,2,16
2193,কোনটো,6,5,48
2194,কোনতো,1,1,11
2195,কোনদিনা,1,1,14
2196,কোনফালে,1,1,5
2197,কোনমূৰ্খই,1,1,14
2198,কোনে,22,19,214
2199,কোনেঁও,1,1,11
2200,কোনেও,11,11,167
2201,কোনো,56,54,741
2202,কোনোদিনে,1,1,9
2203,কোনোবা,13,13,193
2204,কোনোবাই,11,11,158
2205,কোনোবাদিনা,1,1,9
2206,কোনোবায়ে,1,1,13
2207,কোনোয়ে,1,1,16
2208,কোনোৱে,2,2,45
2209,কোনোৱেই,2,2,26
2210,কোব,1,1,9
2211,কোবা,1,1,7
2212,কোবাই,1,1,21
2213,কোবাব,2,2,18
2214,কোবালে,1,1,12
2215,কোবো,3,3,47
2216,কোবোলোই,1,1,8
2217,কোম্পানী,1,1,7
2218,কোম্পানীৰ,1,1,43
2219,কোম্পেনীত,1,1,6
2220,কোলে,1,1,39
2221,কোৰা,2,2,21
2222,কোৰি,2,2,19
2223,কোৰিঅ'গ্ৰাফাৰ,1,1,11
2224,কোৰিছে,1,1,8
2225,কোৰিবো,3,3,49
2226,কোৰিয়েই,1,1,12
2227,কোৰিলা,1,1,20
2228,কোৰে,2,2,28
2229,কোৱা,35,33,499
2230,কোৱাত,1,1,7
2231,কোৱাতো,2,2,22
2232,কোৱালৈ,1,1,8
2233,কোৱাৰ,4,4,66
2234,"কোৱাৰ,",1,1,10
2235,কোৱূ,1,1,13
2236,ক্লা,9,9,64
2237,ক্লাসৰ,1,1,9
2238,ক্লাহহ?,1,1,5
2239,ক্লিপ,1,1,18
2240,ক্ষতি,1,1,14
2241,ক্ষমতা,1,1,5
2242,ক্ষমতাইমুৰতধৰিচে,1,1,2
2243,ক্ষমতাৰ,1,1,42
2244,ক্ষমা,8,7,89
2245,ক্ষান্ত,1,1,9
2246,ক্ষেত্রত,1,1,16
2247,ক্ষেত্রতে,1,1,8
2248,ক্ষেত্ৰখন,1,1,9
2249,ক্ষেত্ৰত,3,3,42
2250,ক্ষোভ,1,1,19
2251,ক্ৰচো,1,1,8
2252,ক্ৰমবিৱৰ্তন,1,1,14
2253,ক্ৰিকেট,1,1,14
2254,ক্ৰিব,1,1,11
2255,ক্ৰিম,1,1,14
2256,ক্ৰিশ্নো,1,1,19
2257,কয়,10,10,120
2258,কয়া,1,1,12
2259,কৰ,14,14,197
2260,কৰ.,1,1,10
2261,কৰক,24,23,296
2262,"কৰক,অকল",1,1,25
2263,কৰক।,8,8,81
2264,কৰক।।,2,2,22
2265,কৰকচোন,1,1,13
2266,কৰপৰা,1,1,5
2267,কৰবা,1,1,10
2268,কৰবাত,2,2,15
2269,কৰবাৰ,2,2,14
2270,কৰম,1,1,21
2271,কৰা,83,80,1204
2272,"কৰা,",3,3,51
2273,কৰা।,1,1,7
2274,কৰাই,5,5,47
2275,কৰাও,1,1,7
2276,কৰাজন,1,1,15
2277,কৰাটো,4,4,105
2278,কৰাটোহে,1,1,13
2279,কৰাত,2,2,16
2280,কৰাতকৈ,1,1,13
2281,কৰাতো,2,2,21
2282,কৰাব,2,2,24
2283,কৰাবোৰে,1,1,8
2284,কৰাসকলক,1,1,11
2285,কৰাহে,2,2,31
2286,কৰায়ত্ত,1,1,8
2287,কৰাৰ,30,29,458
2288,"কৰাৰ,,",1,1,6
2289,কৰি,163,153,2206
2290,"কৰি,",2,2,20
2291,কৰি?,1,1,15
2292,কৰিঅগ্ৰাফাৰ,1,1,7
2293,কৰিছা,1,1,11
2294,কৰিছিল,6,4,95
2295,কৰিছিল।,2,2,17
2296,কৰিছিল।তুমি,1,1,13
2297,কৰিছিলি,2,2,15
2298,কৰিছিলো।‌‌,1,1,11
2299,কৰিছিলোঁ।,1,1,27
2300,কৰিছে,33,32,452
2301,কৰিছে!,1,1,15
2302,"কৰিছে,",6,6,89
2303,"কৰিছে,,,",1,1,17
2304,কৰিছে।,5,5,80
2305,কৰিছো,2,2,20
2306,"কৰিছো,",1,1,8
2307,কৰিছো।অসমৰ,1,1,15
2308,কৰিছোঁ,6,6,59
2309,কৰিছোঁ।গতিকে,1,1,10
2310,কৰিটোৱে,1,1,18
2311,কৰিদিব,1,1,13
2312,কৰিব,144,136,1725
2313,"কৰিব,",1,1,11
2314,"কৰিব,,,",1,1,25
2315,"কৰিব,,,,,,",1,1,13
2316,কৰিব।,4,4,57
2317,কৰিবই,3,3,34
2318,"কৰিবএ,",1,1,16
2319,কৰিবলে,4,4,53
2320,কৰিবলৈ,29,27,422
2321,"কৰিবলৈ,",1,1,6
2322,কৰিবলৈ।,2,2,25
2323,কৰিবা,3,3,26
2324,কৰিবি,3,3,52
2325,কৰিবি।,1,1,17
2326,"কৰিবি।,",1,1,11
2327,কৰিবৰ,2,2,38
2328,কৰিম,10,10,115
2329,কৰিয়েই,1,1,13
2330,কৰিলা,1,1,16
2331,"কৰিলা,অ",1,1,8
2332,কৰিলি,2,2,11
2333,"কৰিলি,",2,1,11
2334,কৰিলে,38,38,609
2335,কৰিলে!,1,1,14
2336,"কৰিলে,",1,1,13
2337,কৰিলে?,1,1,12
2338,কৰিলে।,3,3,28
2339,কৰিলেই,3,3,40
2340,কৰিলেও,4,4,59
2341,কৰিলে৷,1,1,22
2342,কৰিলো,7,7,77
2343,কৰিলোঁ,1,1,9
2344,কৰিলোঁ।,2,2,42
2345,কৰিলো৷,1,1,8
2346,কৰিহে,1,1,8
2347,কৰিয়ে,2,2,55
2348,কৰিৰ্বলৈ,1,1,22
2349,কৰিৱ,2,2,21
2350,কৰী,1,1,8
2351,কৰীছ,1,1,8
2352,কৰীলে,1,1,7
2353,কৰে,36,33,425
2354,কৰে!বুঢ়ী,1,1,7
2355,"কৰে,",2,2,27
2356,"কৰে,,,মোৰ",1,1,13
2357,কৰে।,9,9,108
2358,কৰেই,2,2,19
2359,"কৰেই,",2,2,23
2360,কৰেন,1,1,12
2361,কৰেহি,1,1,19
2362,কৰো,6,6,74
2363,কৰোঁ,1,1,7
2364,"কৰোঁ,,",1,1,9
2365,কৰোতে,2,2,33
2366,কৰোনে,1,1,20
2367,কৰোবাত,1,1,12
2368,কৰোবাৰ,1,1,20
2369,কৰ্ণেহে,1,1,39
2370,কৰ্তব্চৰকাৰ,1,1,18
2371,কৰ্তব্য,1,1,39
2372,কৰ্তৃপক্ষই,1,1,12
2373,কৰ্ম,1,1,10
2374,কৰ্মই,1,1,23
2375,কৰ্মকৰ্তা,1,1,13
2376,কৰ্মচাৰিকো,1,1,14
2377,কৰ্মচাৰীসকলৰ,1,1,20
2378,কৰ্মচাৰীয়ে,1,1,26
2379,কৰ্মপটু,1,1,5
2380,কৰ্মী,1,1,10
2381,কৱৰৰ,2,2,26
2382,ক’ত,4,4,57
2383,ক’তো,1,1,8
2384,ক’বলৈ,1,1,8
2385,ক’লা,2,2,23
2386,ক’লে,1,1,9
2387,খং,7,7,64
2388,খচ্চৰ,1,1,5
2389,খজুটি,1,1,5
2390,খজুৱতি,1,1,3
2391,খণ্ডত,2,2,53
2392,খতম,2,2,22
2393,খন,35,35,481
2394,"খন,,",1,1,15
2395,খনত,3,3,48
2396,খনিক,1,1,19
2397,খনে,2,2,27
2398,খনৰ,1,1,11
2399,খনৰে,1,1,7
2400,খবৰ,13,13,117
2401,খবৰটো,2,2,13
2402,খবৰতো,1,1,14
2403,খলিফা,1,1,10
2404,খা,3,3,37
2405,খাই,22,20,247
2406,খাইও,1,1,15
2407,খাইচ,1,1,3
2408,খাইছা,1,1,4
2409,খাইছে,1,1,8
2410,খাইছেজে,1,1,10
2411,খাইথাকা,1,1,20
2412,খাওঁ‌,1,1,15
2413,খাটাং,1,1,9
2414,খাটি,1,1,10
2415,খাতি,1,1,6
2416,খাতিৰত,1,1,16
2417,"খাতে,",1,1,10
2418,খাদ্য,2,2,31
2419,খান,1,1,15
2420,খানা,1,1,5
2421,খানাক,1,1,10
2422,খানাত,1,1,13
2423,খানৰ,1,1,13
2424,"খাপৰ,",1,1,10
2425,খাব,10,10,95
2426,"খাব,,কেতিয়া",1,1,15
2427,খাব।,2,2,35
2428,খাবলৈ,6,6,47
2429,খাবা,1,1,10
2430,খাম,1,1,9
2431,খারাপ,1,1,9
2432,খাল,1,1,8
2433,খালত,1,1,8
2434,খালি,3,3,51
2435,খালিফা,1,1,4
2436,খালী,1,1,14
2437,খালে,5,5,45
2438,"খালে,",1,1,13
2439,খালে।,1,1,10
2440,খায়,3,3,44
2441,খায়!কোনে,1,1,13
2442,খায়গ'লে,1,1,12
2443,খাৰ,2,2,36
2444,খাৰখোৱা,2,2,26
2445,খিছ,1,1,8
2446,খিনি,11,10,118
2447,খিনিক,3,3,42
2448,খিনিত,1,1,7
2449,খিনিৰ,1,1,9
2450,খিনী,1,1,5
2451,খিলঞ্জীয়া,1,1,27
2452,খিলঞ্জীয়াক,1,1,7
2453,খিলঞ্জীয়াৰ,1,1,6
2454,খিলঞ্জীয়া,4,4,54
2455,খীণ-মীন,1,1,12
2456,খুউব,2,2,11
2457,খুচি,1,1,14
2458,খুচৰি,1,1,3
2459,খুজকাহি,1,1,7
2460,খুজলিৱালক,1,1,9
2461,খুজলিৱালে,1,1,8
2462,খুজি,1,1,45
2463,খুজিছে,1,1,11
2464,"খুজিছে,হাতীয়ে",1,1,30
2465,খুজিছে৷,1,1,22
2466,খুজিব,1,1,19
2467,খুজিলে,1,1,18
2468,খুজিলেই,1,1,12
2469,খুন্দিয়াই,1,1,8
2470,খুন্দিয়াম,1,1,8
2471,খুন্দৰ।ইমান,1,1,6
2472,খুব,5,5,47
2473,খুবেই,1,1,8
2474,খুল,1,1,9
2475,খুলি,7,6,51
2476,খুলিচে?,1,1,15
2477,খুলিবলৈ,2,2,19
2478,খুলিলা,1,1,10
2479,খুলিলে,1,1,9
2480,খুলীব,1,1,15
2481,খুলেছি,1,1,19
2482,খুৰা,1,1,7
2483,খুৱাব,1,1,6
2484,খুৱাবৰ,1,1,11
2485,খূলি,1,1,5
2486,খেছৰ,1,1,4
2487,খেটখুৰীয়ে,1,1,11
2488,খেতি,3,3,68
2489,খেতি।,1,1,11
2490,খেতিত,1,1,21
2491,খেতেৰ,1,1,14
2492,খেদ,2,1,4
2493,খেদঐ,1,1,4
2494,খেদাখোৱাটোক,1,1,11
2495,খেদাম,1,1,5
2496,খেদি,3,3,50
2497,খেদিছে,1,1,12
2498,খেদিব,5,4,41
2499,খেদিবলৈ,2,2,21
2500,খেদিলে,2,2,25
2501,খেনি,2,2,17
2502,খেল,7,7,111
2503,"খেল,",1,1,9
2504,খেলত-ধুনী।,1,1,3
2505,খেলা,2,2,20
2506,খেলি,4,4,47
2507,খেলিছিলা,1,1,22
2508,খেলিছে।,1,1,10
2509,"খেলিব,ইয়াৰ",1,1,18
2510,খেলিলেও,1,1,12
2511,খেলেংকাৰিৰ,1,1,16
2512,খেলৰ,1,1,42
2513,খোৱাগে।,1,1,27
2514,খোজা,2,2,22
2515,খোজে,1,1,9
2516,খোবা,1,1,18
2517,খোল,2,2,28
2518,খোলা,4,4,50
2519,খোলাকাতিৰ,1,1,13
2520,খোলাৰ,1,1,15
2521,খোলে,1,1,7
2522,খোৰাই,1,1,8
2523,খোৱা,14,14,152
2524,খোৱাই,2,2,16
2525,খোৱাব,1,1,6
2526,খোৱা😋,1,1,13
2527,খ্ৰীষ্টমাছকো,1,1,7
2528,খ্ৰীষ্টান,2,2,41
2529,খ্ৰীষ্টিয়ান,1,1,16
2530,খৰচ,3,3,53
2531,খৰছ,2,2,14
2532,খৰছত,1,1,8
2533,খৰেলে,1,1,12
2534,খৱৰ,3,3,32
2535,গ'ল,5,5,76
2536,গ'ল।,1,1,10
2537,গ'লে,2,2,34
2538,গ'লো,1,1,19
2539,গই,1,1,12
2540,গইচো,1,1,30
2541,গকুল,1,1,4
2542,গগৈ,1,1,13
2543,গগৈক,1,1,34
2544,গগৈয়ে,2,2,35
2545,গগৈৰ,4,3,62
2546,গচকি,1,1,24
2547,গছ,2,2,13
2548,গছত,3,3,21
2549,গজা,3,3,39
2550,গজালি,1,1,6
2551,গজিছে,1,1,13
2552,গঠন,3,3,32
2553,গঠনমূলক,1,1,12
2554,গড়,1,1,8
2555,গঢ়,1,1,12
2556,গঢ়ি,1,1,15
2557,গণতন্ত্ৰৰ,1,1,16
2558,গণতান্ত্ৰিক,1,1,16
2559,গণ্ডগোল,1,1,7
2560,গতি,2,2,30
2561,গতি।,1,1,25
2562,গতিকে,27,27,394
2563,গতিকে....গালো,1,1,13
2564,গতেই,1,1,14
2565,গদী,1,1,11
2566,গধূলী,1,1,18
2567,গননাত,1,1,13
2568,গবৰ,1,1,8
2569,গভীৰতা,1,1,17
2570,গভীৰভাৱে,1,1,8
2571,গম,18,17,213
2572,গমন,1,1,5
2573,গরিমা,1,1,17
2574,গর্ভত,1,1,19
2575,গল,10,10,71
2576,"গল,আপোনালোকৰ",1,1,12
2577,"গল,তাৰ",1,1,18
2578,গললৈ,1,1,15
2579,গলাই,1,1,4
2580,গলে,3,3,40
2581,গলেই,3,3,47
2582,গলেও,1,1,7
2583,গলেৰ,1,1,6
2584,গলো,4,4,39
2585,গল্প।,1,1,11
2586,গলৰ,1,1,20
2587,গহ্বৰত,1,1,13
2588,গা,3,3,28
2589,গাঁৱলীয়া,1,1,20
2590,গাই,6,5,93
2591,গাইচা।,1,1,5
2592,গাইছে,2,2,24
2593,গাইছে।,1,1,8
2594,গাওঁ,1,1,14
2595,গাওক,1,1,19
2596,গাওত,2,2,17
2597,গাখীৰ,1,1,11
2598,গাজাখাৰী,1,1,8
2599,গাড়ী,1,1,13
2600,গাড়ীৰ,2,2,52
2601,গাত,10,10,103
2602,"গাত,",1,1,8
2603,গাত।,1,1,6
2604,গাতবোৰত,1,1,6
2605,গাদী,1,1,15
2606,গাদীত,1,1,15
2607,গাদ্দাৰ,2,2,47
2608,গাদ্দাৰী,2,1,17
2609,গাধ,3,3,58
2610,গান,9,7,125
2611,গানটার,1,1,15
2612,গানটো,3,2,31
2613,গানটোত,1,1,8
2614,গানটোৰ,1,1,15
2615,গানভুৰ,1,1,21
2616,গানে,1,1,24
2617,গানেৰে,1,1,5
2618,গান্ধাৰী,1,1,2
2619,গান্ধীৰ,1,1,11
2620,গাব,3,3,52
2621,গাবলে,1,1,28
2622,গাভৰুছোৱালীৰ,1,1,12
2623,গাম,3,3,40
2624,গাল,1,1,4
2625,গালি,16,15,161
2626,গাহৰি,3,3,26
2627,গাহৰিৰ,1,1,6
2628,গাড়ী,2,2,49
2629,গায়,1,1,12
2630,গায়ক,2,2,19
2631,গায়কতকৈ,1,1,8
2632,গায়কী।,1,1,5
2633,গায়কেই,1,1,12
2634,গায়ত্ৰী,1,1,10
2635,গাৰ,1,1,9
2636,গাৰে,1,1,21
2637,গাৰ্গ,1,1,14
2638,গাৰ্গক,1,1,11
2639,গাৰ্গৰ,1,1,7
2640,গাৱলীয়া,1,1,4
2641,গাৱৰ,1,1,9
2642,গিজিঙ,1,1,19
2643,গিদা,1,1,11
2644,গিদাতো,1,1,4
2645,গিৰি,3,3,54
2646,গিৰিব,1,1,42
2647,গিৰিয়েকৰ,1,1,12
2648,গিৰিয়েৰতো,1,1,16
2649,গীত,5,5,105
2650,গীতটিত,1,1,22
2651,গীতেই,1,1,11
2652,গীদা,1,1,9
2653,গু,1,1,11
2654,গুখাই,1,1,4
2655,গুচি,3,3,41
2656,গুচি...ঘণ্টা,1,1,28
2657,গুচেলেকা,1,1,9
2658,গুছি,1,1,12
2659,গুজ্যদ্যাৰ,1,1,6
2660,গুজৰাট,2,2,29
2661,গুজৰাটত,1,1,13
2662,গুটি,2,2,12
2663,গুণ,2,2,23
2664,গুণদা,1,1,6
2665,গুণনথোকা,1,1,21
2666,গুণ্ডাৰ,1,1,6
2667,গুণৰ,1,1,9
2668,গুন,2,2,32
2669,গুনি,1,1,42
2670,গুনৱতীজনীক,1,1,4
2671,গুপ্তাংগটোকে,1,1,8
2672,গুপ্তাংগত,1,1,26
2673,গুললিৰে,1,1,13
2674,গুলি,3,3,28
2675,গুলিয়াই,1,1,5
2676,গুষ্টিবোৰৰ,1,1,11
2677,গুৰ,1,1,11
2678,গুৰি,2,2,17
2679,গুৰী,1,1,5
2680,গুৰু,3,3,22
2681,গুৰুত্ব,6,6,58
2682,গুৰুত্বপূৰ্ণ,3,3,30
2683,গুৰুৰ,1,1,17
2684,গুৱাহাটিত,1,1,19
2685,গুৱাহাটী,1,1,20
2686,গুৱাহাটীত,1,1,11
2687,গৃহত,1,1,12
2688,গৃহিত,1,1,7
2689,গে-,1,1,9
2690,গেটত,1,1,28
2691,গেডা,1,1,15
2692,গেডাৰ,2,2,12
2693,গেদা,60,50,563
2694,গেদা।,3,2,26
2695,গেদাই,5,5,58
2696,গেদাক,1,1,16
2697,গেদাখিনি,1,1,14
2698,গেদানুভূতি,1,1,16
2699,গেদাপ্ৰীতি,1,1,14
2700,গেদাবুৰ,1,1,16
2701,গেদার,1,1,6
2702,গেদাসোপা,2,2,2
2703,গেদাৰ,5,5,54
2704,গেদা😆,1,1,16
2705,গেদি,8,6,69
2706,"গেদি,",1,1,13
2707,গেদিই,1,1,6
2708,গেদী,5,5,52
2709,গেধা,2,2,39
2710,গেন্ধা,1,1,14
2711,গেপ্তাৰ,2,2,27
2712,গেফতাৰ,1,1,11
2713,গেল,1,1,15
2714,গেলা,2,2,12
2715,গেলাই,1,1,7
2716,গেলিলে,1,1,15
2717,গেলেকী,1,1,11
2718,গেলেস্কিখন,1,1,13
2719,গেৰুৱা,1,1,5
2720,গেৰুৱাকৰন,1,1,17
2721,গৈ,22,22,356
2722,গৈ।,1,1,6
2723,গৈগৈৰ,1,1,17
2724,গৈছ,1,1,9
2725,গৈছা,1,1,8
2726,গৈছিল,6,6,98
2727,"গৈছিল.,.",1,1,10
2728,গৈছিলোঁ,1,1,24
2729,গৈছে,16,16,205
2730,"গৈছে,,অসমৰ",1,1,10
2731,গৈছে।,4,4,33
2732,গো-মুত্ৰ,1,1,4
2733,গোচৰ,1,1,5
2734,গোছ,1,1,7
2735,গোটা,1,1,7
2736,গোটেই,14,14,168
2737,গোটেইজনী,1,1,19
2738,গোতেই,1,1,11
2739,গোতেইখন,1,1,12
2740,গোন্ধ,1,1,13
2741,গোপনীয়তা,1,1,39
2742,গোপিনাথ,1,1,15
2743,গোপী,1,1,7
2744,গোপীনাথ,2,2,21
2745,গোবৰ,2,2,9
2746,গোমাংস,1,1,17
2747,গোল,2,2,33
2748,গোস্বামী,1,1,20
2749,গোহাইয়ে,1,1,34
2750,গোহালি,1,1,9
2751,গোড়ামী,1,1,11
2752,গোৰ,1,1,4
2753,গোৰ..,1,1,3
2754,গোৰোম,1,1,45
2755,গোৱা,2,2,22
2756,গৌৰব,2,2,32
2757,গৌৰববোধ,1,1,10
2758,গৌৰভময়,1,1,19
2759,গৌৰৱ,4,4,41
2760,গৌৰৱী৷,1,1,15
2761,গ্লেমাৰ,1,1,10
2762,গ্ৰহণ,4,4,57
2763,গ্ৰহৰ,1,1,10
2764,গ্ৰাফাৰ,1,1,2
2765,গ্ৰাস,1,1,17
2766,গ্ৰেজুৱেট,1,1,5
2767,গ্ৰেপ্তাৰ,5,5,44
2768,গড়,1,1,15
2769,গঢ়াৰ------।বৃহত্ত্বৰ,1,1,10
2770,গঢ়ি,1,1,14
2771,গঢ়িয়া,1,1,9
2772,গঢ়ো,1,1,17
2773,গৰম,12,12,125
2774,গৰমৰ,1,1,21
2775,গৰাকী,3,3,50
2776,গৰাকীক,4,4,64
2777,গৰাকীয়ে,1,1,31
2778,গৰাকীৰ,5,5,69
2779,গৰিয়া,1,1,8
2780,গৰিহণা,1,1,10
2781,গৰিয়া,1,1,11
2782,গৰু,10,10,90
2783,"গৰুচুৰ,",1,1,19
2784,গৰুতকৈও,1,1,7
2785,গৰুবোৰৰ,1,1,19
2786,গৰুয়ে,1,1,15
2787,গৰুৰ,4,4,41
2788,গৰুৱে,1,1,17
2789,গৰ্খা,1,1,5
2790,গৰ্ব,1,1,19
2791,ঘটনা,6,6,74
2792,ঘটনা।,1,1,13
2793,ঘটনাটোত,1,1,6
2794,ঘটাইছে,1,1,15
2795,ঘটাৰ,1,1,11
2796,ঘটি,4,4,65
2797,ঘটিছে,2,2,7
2798,ঘটিছে।,1,1,4
2799,ঘটিটো,1,1,1
2800,ঘটিতো,1,1,8
2801,ঘটিব,1,1,13
2802,ঘড়ী,2,2,17
2803,ঘড়ীৰ,1,1,7
2804,ঘণ্টা,1,1,8
2805,ঘতনা,1,1,21
2806,ঘতি,2,2,10
2807,ঘনিষ্ঠ,1,1,10
2808,ঘন্টা,2,2,28
2809,ঘন্টাবোৰৰ,1,1,5
2810,ঘপকে,1,1,18
2811,ঘহি,1,1,9
2812,ঘাঁহ,3,3,39
2813,ঘাই,2,2,47
2814,ঘাটিয়া,1,1,1
2815,ঘাত-প্ৰতিঘাত,1,1,15
2816,ঘিউ,1,1,24
2817,ঘিণ,3,3,20
2818,ঘিণহে,1,1,16
2819,ঘিন,3,3,16
2820,ঘীণ,1,1,18
2821,ঘুকি,1,1,8
2822,ঘুচিয়াই,2,2,17
2823,ঘুহি,1,1,11
2824,ঘুৰাই,1,1,6
2825,ঘুৰি,7,7,87
2826,ঘুৰিছে,1,1,14
2827,ঘূৰাই,1,1,13
2828,ঘূৰাইছে,1,1,3
2829,ঘূৰি,2,2,23
2830,ঘূৰিব,1,1,15
2831,ঘূৰিবলে,1,1,4
2832,ঘূৰিলে,1,1,6
2833,ঘূৰিৱ,1,1,25
2834,ঘূৰে,1,1,9
2835,ঘৃননীয়,2,2,26
2836,ঘৃনা,1,1,9
2837,ঘেণ্টা!!!,1,1,17
2838,ঘেণ্টাজনীক,1,1,17
2839,ঘেন্টা,3,3,44
2840,ঘেন্টাও,1,1,17
2841,ঘৈণীয়েকক,1,1,19
2842,ঘৈণীয়েকৰ,1,1,19
2843,ঘৈণীয়েক,1,1,11
2844,ঘৈণীৰ,1,1,8
2845,ঘৈনী,1,1,25
2846,ঘোচা,2,2,18
2847,ঘোলা,1,1,6
2848,ঘোষখোৰ,1,1,12
2849,ঘোষণা,1,1,8
2850,ঘোষণাটি,1,1,3
2851,ঘড়ী,2,2,21
2852,ঘড়ীৰ,1,1,12
2853,ঘৰ,7,7,142
2854,ঘৰত,14,14,203
2855,ঘৰতেই,1,1,5
2856,ঘৰম,1,1,9
2857,ঘৰলৈ,2,2,18
2858,ঘৰে,1,1,32
2859,ঘৰৰ,10,10,152
2860,চকী,1,1,14
2861,চকু,11,11,115
2862,চকুত,1,1,6
2863,চকুপানী,1,1,12
2864,চকুলো,1,1,15
2865,চকুৰ,1,1,12
2866,চকুৰে,1,1,7
2867,চকুৰেও,1,1,13
2868,চগে,1,1,13
2869,চণ্ডো,1,1,10
2870,চতঃস্ফুত,1,1,18
2871,চতুৰ,1,1,19
2872,চন,1,1,27
2873,চনত,1,1,57
2874,চনতে,1,1,18
2875,চনদ্রমোহন,1,1,7
2876,চনৰ,1,1,12
2877,চপাই,1,1,4
2878,চফা,1,1,16
2879,চব,7,7,66
2880,চব..অসমক,1,1,7
2881,চব.বাৰিটডে,1,1,45
2882,চবটকোই,1,1,9
2883,চবতে,1,1,9
2884,চবে,1,1,14
2885,চবৰে,1,1,32
2886,চভাৱ,1,1,13
2887,চম্ভালি,1,1,12
2888,চম্ভালিব,1,1,6
2889,চয়তান,1,1,15
